,year,Province,AgeGroup,ag_0-4,ag_10-14,ag_15-24,ag_25-34,ag_35-59,ag_5-9,ag_60,patient_count
0,2016,Amnat Charoen,0-4,1,0,0,0,0,0,0,42
1,2016,Amnat Charoen,10-14,0,1,0,0,0,0,0,178
2,2016,Amnat Charoen,15-24,0,0,1,0,0,0,0,166
3,2016,Amnat Charoen,25-34,0,0,0,1,0,0,0,70
4,2016,Amnat Charoen,35-59,0,0,0,0,1,0,0,76
5,2016,Amnat Charoen,5-9,0,0,0,0,0,1,0,130
6,2016,Amnat Charoen,60,0,0,0,0,0,0,1,14
7,2016,Ang Thong,0-4,1,0,0,0,0,0,0,16
8,2016,Ang Thong,10-14,0,1,0,0,0,0,0,32
9,2016,Ang Thong,15-24,0,0,1,0,0,0,0,68
10,2016,Ang Thong,25-34,0,0,0,1,0,0,0,44
11,2016,Ang Thong,35-59,0,0,0,0,1,0,0,70
12,2016,Ang Thong,5-9,0,0,0,0,0,1,0,34
13,2016,Ang Thong,60,0,0,0,0,0,0,1,22
14,2016,Bangkok,0-4,1,0,0,0,0,0,0,612
15,2016,Bangkok,10-14,0,1,0,0,0,0,0,1620
16,2016,Bangkok,15-24,0,0,1,0,0,0,0,3550
17,2016,Bangkok,25-34,0,0,0,1,0,0,0,3366
18,2016,Bangkok,35-59,0,0,0,0,1,0,0,3948
19,2016,Bangkok,5-9,0,0,0,0,0,1,0,1092
20,2016,Bangkok,60,0,0,0,0,0,0,1,744
21,2016,Bueng Kan,0-4,1,0,0,0,0,0,0,82
22,2016,Bueng Kan,10-14,0,1,0,0,0,0,0,380
23,2016,Bueng Kan,15-24,0,0,1,0,0,0,0,258
24,2016,Bueng Kan,25-34,0,0,0,1,0,0,0,104
25,2016,Bueng Kan,35-59,0,0,0,0,1,0,0,156
26,2016,Bueng Kan,5-9,0,0,0,0,0,1,0,266
27,2016,Bueng Kan,60,0,0,0,0,0,0,1,20
28,2016,Buri Ram,0-4,1,0,0,0,0,0,0,172
29,2016,Buri Ram,10-14,0,1,0,0,0,0,0,386
30,2016,Buri Ram,15-24,0,0,1,0,0,0,0,256
31,2016,Buri Ram,25-34,0,0,0,1,0,0,0,94
32,2016,Buri Ram,35-59,0,0,0,0,1,0,0,160
33,2016,Buri Ram,5-9,0,0,0,0,0,1,0,390
34,2016,Buri Ram,60,0,0,0,0,0,0,1,42
35,2016,Chachoengsao,0-4,1,0,0,0,0,0,0,48
36,2016,Chachoengsao,10-14,0,1,0,0,0,0,0,110
37,2016,Chachoengsao,15-24,0,0,1,0,0,0,0,168
38,2016,Chachoengsao,25-34,0,0,0,1,0,0,0,134
39,2016,Chachoengsao,35-59,0,0,0,0,1,0,0,206
40,2016,Chachoengsao,5-9,0,0,0,0,0,1,0,96
41,2016,Chachoengsao,60,0,0,0,0,0,0,1,30
42,2016,Chai Nat,0-4,1,0,0,0,0,0,0,20
43,2016,Chai Nat,10-14,0,1,0,0,0,0,0,38
44,2016,Chai Nat,15-24,0,0,1,0,0,0,0,70
45,2016,Chai Nat,25-34,0,0,0,1,0,0,0,50
46,2016,Chai Nat,35-59,0,0,0,0,1,0,0,50
47,2016,Chai Nat,5-9,0,0,0,0,0,1,0,32
48,2016,Chai Nat,60,0,0,0,0,0,0,1,14
49,2016,Chaiyaphum,0-4,1,0,0,0,0,0,0,106
50,2016,Chaiyaphum,10-14,0,1,0,0,0,0,0,314
51,2016,Chaiyaphum,15-24,0,0,1,0,0,0,0,244
52,2016,Chaiyaphum,25-34,0,0,0,1,0,0,0,82
53,2016,Chaiyaphum,35-59,0,0,0,0,1,0,0,106
54,2016,Chaiyaphum,5-9,0,0,0,0,0,1,0,336
55,2016,Chaiyaphum,60,0,0,0,0,0,0,1,34
56,2016,Chanthaburi,0-4,1,0,0,0,0,0,0,116
57,2016,Chanthaburi,10-14,0,1,0,0,0,0,0,252
58,2016,Chanthaburi,15-24,0,0,1,0,0,0,0,300
59,2016,Chanthaburi,25-34,0,0,0,1,0,0,0,224
60,2016,Chanthaburi,35-59,0,0,0,0,1,0,0,254
61,2016,Chanthaburi,5-9,0,0,0,0,0,1,0,226
62,2016,Chanthaburi,60,0,0,0,0,0,0,1,48
63,2016,Chiang Mai,0-4,1,0,0,0,0,0,0,162
64,2016,Chiang Mai,10-14,0,1,0,0,0,0,0,660
65,2016,Chiang Mai,15-24,0,0,1,0,0,0,0,2114
66,2016,Chiang Mai,25-34,0,0,0,1,0,0,0,2276
67,2016,Chiang Mai,35-59,0,0,0,0,1,0,0,3194
68,2016,Chiang Mai,5-9,0,0,0,0,0,1,0,374
69,2016,Chiang Mai,60,0,0,0,0,0,0,1,728
70,2016,Chiang Rai,0-4,1,0,0,0,0,0,0,52
71,2016,Chiang Rai,10-14,0,1,0,0,0,0,0,224
72,2016,Chiang Rai,15-24,0,0,1,0,0,0,0,506
73,2016,Chiang Rai,25-34,0,0,0,1,0,0,0,426
74,2016,Chiang Rai,35-59,0,0,0,0,1,0,0,804
75,2016,Chiang Rai,5-9,0,0,0,0,0,1,0,152
76,2016,Chiang Rai,60,0,0,0,0,0,0,1,230
77,2016,Chon Buri,0-4,1,0,0,0,0,0,0,114
78,2016,Chon Buri,10-14,0,1,0,0,0,0,0,232
79,2016,Chon Buri,15-24,0,0,1,0,0,0,0,452
80,2016,Chon Buri,25-34,0,0,0,1,0,0,0,314
81,2016,Chon Buri,35-59,0,0,0,0,1,0,0,292
82,2016,Chon Buri,5-9,0,0,0,0,0,1,0,194
83,2016,Chon Buri,60,0,0,0,0,0,0,1,50
84,2016,Chumphon,0-4,1,0,0,0,0,0,0,58
85,2016,Chumphon,10-14,0,1,0,0,0,0,0,94
86,2016,Chumphon,15-24,0,0,1,0,0,0,0,102
87,2016,Chumphon,25-34,0,0,0,1,0,0,0,50
88,2016,Chumphon,35-59,0,0,0,0,1,0,0,90
89,2016,Chumphon,5-9,0,0,0,0,0,1,0,82
90,2016,Chumphon,60,0,0,0,0,0,0,1,16
91,2016,Kalasin,0-4,1,0,0,0,0,0,0,86
92,2016,Kalasin,10-14,0,1,0,0,0,0,0,336
93,2016,Kalasin,15-24,0,0,1,0,0,0,0,404
94,2016,Kalasin,25-34,0,0,0,1,0,0,0,186
95,2016,Kalasin,35-59,0,0,0,0,1,0,0,226
96,2016,Kalasin,5-9,0,0,0,0,0,1,0,276
97,2016,Kalasin,60,0,0,0,0,0,0,1,52
98,2016,Kamphaeng Phet,0-4,1,0,0,0,0,0,0,20
99,2016,Kamphaeng Phet,10-14,0,1,0,0,0,0,0,64
100,2016,Kamphaeng Phet,15-24,0,0,1,0,0,0,0,100
101,2016,Kamphaeng Phet,25-34,0,0,0,1,0,0,0,50
102,2016,Kamphaeng Phet,35-59,0,0,0,0,1,0,0,44
103,2016,Kamphaeng Phet,5-9,0,0,0,0,0,1,0,62
104,2016,Kamphaeng Phet,60,0,0,0,0,0,0,1,12
105,2016,Kanchanaburi,0-4,1,0,0,0,0,0,0,38
106,2016,Kanchanaburi,10-14,0,1,0,0,0,0,0,52
107,2016,Kanchanaburi,15-24,0,0,1,0,0,0,0,102
108,2016,Kanchanaburi,25-34,0,0,0,1,0,0,0,50
109,2016,Kanchanaburi,35-59,0,0,0,0,1,0,0,62
110,2016,Kanchanaburi,5-9,0,0,0,0,0,1,0,72
111,2016,Kanchanaburi,60,0,0,0,0,0,0,1,16
112,2016,Khon Kaen,0-4,1,0,0,0,0,0,0,134
113,2016,Khon Kaen,10-14,0,1,0,0,0,0,0,358
114,2016,Khon Kaen,15-24,0,0,1,0,0,0,0,436
115,2016,Khon Kaen,25-34,0,0,0,1,0,0,0,164
116,2016,Khon Kaen,35-59,0,0,0,0,1,0,0,172
117,2016,Khon Kaen,5-9,0,0,0,0,0,1,0,304
118,2016,Khon Kaen,60,0,0,0,0,0,0,1,32
119,2016,Krabi,0-4,1,0,0,0,0,0,0,108
120,2016,Krabi,10-14,0,1,0,0,0,0,0,208
121,2016,Krabi,15-24,0,0,1,0,0,0,0,290
122,2016,Krabi,25-34,0,0,0,1,0,0,0,170
123,2016,Krabi,35-59,0,0,0,0,1,0,0,166
124,2016,Krabi,5-9,0,0,0,0,0,1,0,150
125,2016,Krabi,60,0,0,0,0,0,0,1,36
126,2016,Lampang,0-4,1,0,0,0,0,0,0,32
127,2016,Lampang,10-14,0,1,0,0,0,0,0,204
128,2016,Lampang,15-24,0,0,1,0,0,0,0,452
129,2016,Lampang,25-34,0,0,0,1,0,0,0,300
130,2016,Lampang,35-59,0,0,0,0,1,0,0,324
131,2016,Lampang,5-9,0,0,0,0,0,1,0,98
132,2016,Lampang,60,0,0,0,0,0,0,1,86
133,2016,Lamphun,0-4,1,0,0,0,0,0,0,16
134,2016,Lamphun,10-14,0,1,0,0,0,0,0,146
135,2016,Lamphun,15-24,0,0,1,0,0,0,0,282
136,2016,Lamphun,25-34,0,0,0,1,0,0,0,172
137,2016,Lamphun,35-59,0,0,0,0,1,0,0,294
138,2016,Lamphun,5-9,0,0,0,0,0,1,0,94
139,2016,Lamphun,60,0,0,0,0,0,0,1,68
140,2016,Loei,0-4,1,0,0,0,0,0,0,42
141,2016,Loei,10-14,0,1,0,0,0,0,0,240
142,2016,Loei,15-24,0,0,1,0,0,0,0,374
143,2016,Loei,25-34,0,0,0,1,0,0,0,194
144,2016,Loei,35-59,0,0,0,0,1,0,0,290
145,2016,Loei,5-9,0,0,0,0,0,1,0,174
146,2016,Loei,60,0,0,0,0,0,0,1,62
147,2016,Lop Buri,0-4,1,0,0,0,0,0,0,134
148,2016,Lop Buri,10-14,0,1,0,0,0,0,0,200
149,2016,Lop Buri,15-24,0,0,1,0,0,0,0,148
150,2016,Lop Buri,25-34,0,0,0,1,0,0,0,66
151,2016,Lop Buri,35-59,0,0,0,0,1,0,0,82
152,2016,Lop Buri,5-9,0,0,0,0,0,1,0,220
153,2016,Lop Buri,60,0,0,0,0,0,0,1,20
154,2016,Mae Hong Son,0-4,1,0,0,0,0,0,0,44
155,2016,Mae Hong Son,10-14,0,1,0,0,0,0,0,298
156,2016,Mae Hong Son,15-24,0,0,1,0,0,0,0,488
157,2016,Mae Hong Son,25-34,0,0,0,1,0,0,0,442
158,2016,Mae Hong Son,35-59,0,0,0,0,1,0,0,700
159,2016,Mae Hong Son,5-9,0,0,0,0,0,1,0,158
160,2016,Mae Hong Son,60,0,0,0,0,0,0,1,138
161,2016,Maha Sarakham,0-4,1,0,0,0,0,0,0,110
162,2016,Maha Sarakham,10-14,0,1,0,0,0,0,0,234
163,2016,Maha Sarakham,15-24,0,0,1,0,0,0,0,358
164,2016,Maha Sarakham,25-34,0,0,0,1,0,0,0,82
165,2016,Maha Sarakham,35-59,0,0,0,0,1,0,0,120
166,2016,Maha Sarakham,5-9,0,0,0,0,0,1,0,294
167,2016,Maha Sarakham,60,0,0,0,0,0,0,1,34
168,2016,Mukdahan,0-4,1,0,0,0,0,0,0,48
169,2016,Mukdahan,10-14,0,1,0,0,0,0,0,164
170,2016,Mukdahan,15-24,0,0,1,0,0,0,0,246
171,2016,Mukdahan,25-34,0,0,0,1,0,0,0,138
172,2016,Mukdahan,35-59,0,0,0,0,1,0,0,136
173,2016,Mukdahan,5-9,0,0,0,0,0,1,0,124
174,2016,Mukdahan,60,0,0,0,0,0,0,1,30
175,2016,Nakhon Nayok,0-4,1,0,0,0,0,0,0,14
176,2016,Nakhon Nayok,10-14,0,1,0,0,0,0,0,22
177,2016,Nakhon Nayok,15-24,0,0,1,0,0,0,0,42
178,2016,Nakhon Nayok,25-34,0,0,0,1,0,0,0,26
179,2016,Nakhon Nayok,35-59,0,0,0,0,1,0,0,20
180,2016,Nakhon Nayok,5-9,0,0,0,0,0,1,0,28
181,2016,Nakhon Nayok,60,0,0,0,0,0,0,1,6
182,2016,Nakhon Pathom,0-4,1,0,0,0,0,0,0,106
183,2016,Nakhon Pathom,10-14,0,1,0,0,0,0,0,188
184,2016,Nakhon Pathom,15-24,0,0,1,0,0,0,0,418
185,2016,Nakhon Pathom,25-34,0,0,0,1,0,0,0,240
186,2016,Nakhon Pathom,35-59,0,0,0,0,1,0,0,314
187,2016,Nakhon Pathom,5-9,0,0,0,0,0,1,0,148
188,2016,Nakhon Pathom,60,0,0,0,0,0,0,1,94
189,2016,Nakhon Phanom,0-4,1,0,0,0,0,0,0,58
190,2016,Nakhon Phanom,10-14,0,1,0,0,0,0,0,226
191,2016,Nakhon Phanom,15-24,0,0,1,0,0,0,0,236
192,2016,Nakhon Phanom,25-34,0,0,0,1,0,0,0,82
193,2016,Nakhon Phanom,35-59,0,0,0,0,1,0,0,74
194,2016,Nakhon Phanom,5-9,0,0,0,0,0,1,0,130
195,2016,Nakhon Phanom,60,0,0,0,0,0,0,1,8
196,2016,Nakhon Ratchasima,0-4,1,0,0,0,0,0,0,418
197,2016,Nakhon Ratchasima,10-14,0,1,0,0,0,0,0,608
198,2016,Nakhon Ratchasima,15-24,0,0,1,0,0,0,0,788
199,2016,Nakhon Ratchasima,25-34,0,0,0,1,0,0,0,466
200,2016,Nakhon Ratchasima,35-59,0,0,0,0,1,0,0,360
201,2016,Nakhon Ratchasima,5-9,0,0,0,0,0,1,0,536
202,2016,Nakhon Ratchasima,60,0,0,0,0,0,0,1,86
203,2016,Nakhon Sawan,0-4,1,0,0,0,0,0,0,94
204,2016,Nakhon Sawan,10-14,0,1,0,0,0,0,0,192
205,2016,Nakhon Sawan,15-24,0,0,1,0,0,0,0,366
206,2016,Nakhon Sawan,25-34,0,0,0,1,0,0,0,172
207,2016,Nakhon Sawan,35-59,0,0,0,0,1,0,0,180
208,2016,Nakhon Sawan,5-9,0,0,0,0,0,1,0,188
209,2016,Nakhon Sawan,60,0,0,0,0,0,0,1,44
210,2016,Nakhon Si Thammarat,0-4,1,0,0,0,0,0,0,406
211,2016,Nakhon Si Thammarat,10-14,0,1,0,0,0,0,0,774
212,2016,Nakhon Si Thammarat,15-24,0,0,1,0,0,0,0,1166
213,2016,Nakhon Si Thammarat,25-34,0,0,0,1,0,0,0,650
214,2016,Nakhon Si Thammarat,35-59,0,0,0,0,1,0,0,618
215,2016,Nakhon Si Thammarat,5-9,0,0,0,0,0,1,0,748
216,2016,Nakhon Si Thammarat,60,0,0,0,0,0,0,1,204
217,2016,Nan,0-4,1,0,0,0,0,0,0,14
218,2016,Nan,10-14,0,1,0,0,0,0,0,50
219,2016,Nan,15-24,0,0,1,0,0,0,0,94
220,2016,Nan,25-34,0,0,0,1,0,0,0,68
221,2016,Nan,35-59,0,0,0,0,1,0,0,128
222,2016,Nan,5-9,0,0,0,0,0,1,0,32
223,2016,Nan,60,0,0,0,0,0,0,1,38
224,2016,Narathiwat,0-4,1,0,0,0,0,0,0,202
225,2016,Narathiwat,10-14,0,1,0,0,0,0,0,540
226,2016,Narathiwat,15-24,0,0,1,0,0,0,0,878
227,2016,Narathiwat,25-34,0,0,0,1,0,0,0,652
228,2016,Narathiwat,35-59,0,0,0,0,1,0,0,676
229,2016,Narathiwat,5-9,0,0,0,0,0,1,0,468
230,2016,Narathiwat,60,0,0,0,0,0,0,1,96
231,2016,Nong Bua Lam Phu,0-4,1,0,0,0,0,0,0,28
232,2016,Nong Bua Lam Phu,10-14,0,1,0,0,0,0,0,114
233,2016,Nong Bua Lam Phu,15-24,0,0,1,0,0,0,0,106
