year,Province,AgeGroup,ag_0-4,ag_5-9,ag_10-14,ag_15-24,ag_25-34,ag_35-59,ag_60,patient_count
2016,Amnat Charoen,0-4,1,0,0,0,0,0,0,42
2016,Amnat Charoen,10-14,0,0,1,0,0,0,0,178
2016,Amnat Charoen,15-24,0,0,0,1,0,0,0,166
2016,Amnat Charoen,25-34,0,0,0,0,1,0,0,70
2016,Amnat Charoen,35-59,0,0,0,0,0,1,0,76
2016,Amnat Charoen,5-9,0,1,0,0,0,0,0,130
2016,Amnat Charoen,60,0,0,0,0,0,0,1,14
2016,Ang Thong,0-4,1,0,0,0,0,0,0,16
2016,Ang Thong,10-14,0,0,1,0,0,0,0,32
2016,Ang Thong,15-24,0,0,0,1,0,0,0,68
2016,Ang Thong,25-34,0,0,0,0,1,0,0,44
2016,Ang Thong,35-59,0,0,0,0,0,1,0,70
2016,Ang Thong,5-9,0,1,0,0,0,0,0,34
2016,Ang Thong,60,0,0,0,0,0,0,1,22
2016,Bangkok,0-4,1,0,0,0,0,0,0,612
2016,Bangkok,10-14,0,0,1,0,0,0,0,1620
2016,Bangkok,15-24,0,0,0,1,0,0,0,3550
2016,Bangkok,25-34,0,0,0,0,1,0,0,3366
2016,Bangkok,35-59,0,0,0,0,0,1,0,3948
2016,Bangkok,5-9,0,1,0,0,0,0,0,1092
2016,Bangkok,60,0,0,0,0,0,0,1,744
2016,Bueng Kan,0-4,1,0,0,0,0,0,0,82
2016,Bueng Kan,10-14,0,0,1,0,0,0,0,380
2016,Bueng Kan,15-24,0,0,0,1,0,0,0,258
2016,Bueng Kan,25-34,0,0,0,0,1,0,0,104
2016,Bueng Kan,35-59,0,0,0,0,0,1,0,156
2016,Bueng Kan,5-9,0,1,0,0,0,0,0,266
2016,Bueng Kan,60,0,0,0,0,0,0,1,20
2016,Buri Ram,0-4,1,0,0,0,0,0,0,172
2016,Buri Ram,10-14,0,0,1,0,0,0,0,386
2016,Buri Ram,15-24,0,0,0,1,0,0,0,256
2016,Buri Ram,25-34,0,0,0,0,1,0,0,94
2016,Buri Ram,35-59,0,0,0,0,0,1,0,160
2016,Buri Ram,5-9,0,1,0,0,0,0,0,390
2016,Buri Ram,60,0,0,0,0,0,0,1,42
2016,Chachoengsao,0-4,1,0,0,0,0,0,0,48
2016,Chachoengsao,10-14,0,0,1,0,0,0,0,110
2016,Chachoengsao,15-24,0,0,0,1,0,0,0,168
2016,Chachoengsao,25-34,0,0,0,0,1,0,0,134
2016,Chachoengsao,35-59,0,0,0,0,0,1,0,206
2016,Chachoengsao,5-9,0,1,0,0,0,0,0,96
2016,Chachoengsao,60,0,0,0,0,0,0,1,30
2016,Chai Nat,0-4,1,0,0,0,0,0,0,20
2016,Chai Nat,10-14,0,0,1,0,0,0,0,38
2016,Chai Nat,15-24,0,0,0,1,0,0,0,70
2016,Chai Nat,25-34,0,0,0,0,1,0,0,50
2016,Chai Nat,35-59,0,0,0,0,0,1,0,50
2016,Chai Nat,5-9,0,1,0,0,0,0,0,32
2016,Chai Nat,60,0,0,0,0,0,0,1,14
2016,Chaiyaphum,0-4,1,0,0,0,0,0,0,106
2016,Chaiyaphum,10-14,0,0,1,0,0,0,0,314
2016,Chaiyaphum,15-24,0,0,0,1,0,0,0,244
2016,Chaiyaphum,25-34,0,0,0,0,1,0,0,82
2016,Chaiyaphum,35-59,0,0,0,0,0,1,0,106
2016,Chaiyaphum,5-9,0,1,0,0,0,0,0,336
2016,Chaiyaphum,60,0,0,0,0,0,0,1,34
2016,Chanthaburi,0-4,1,0,0,0,0,0,0,116
2016,Chanthaburi,10-14,0,0,1,0,0,0,0,252
2016,Chanthaburi,15-24,0,0,0,1,0,0,0,300
2016,Chanthaburi,25-34,0,0,0,0,1,0,0,224
2016,Chanthaburi,35-59,0,0,0,0,0,1,0,254
2016,Chanthaburi,5-9,0,1,0,0,0,0,0,226
2016,Chanthaburi,60,0,0,0,0,0,0,1,48
2016,Chiang Mai,0-4,1,0,0,0,0,0,0,162
2016,Chiang Mai,10-14,0,0,1,0,0,0,0,660
2016,Chiang Mai,15-24,0,0,0,1,0,0,0,2114
2016,Chiang Mai,25-34,0,0,0,0,1,0,0,2276
2016,Chiang Mai,35-59,0,0,0,0,0,1,0,3194
2016,Chiang Mai,5-9,0,1,0,0,0,0,0,374
2016,Chiang Mai,60,0,0,0,0,0,0,1,728
2016,Chiang Rai,0-4,1,0,0,0,0,0,0,52
2016,Chiang Rai,10-14,0,0,1,0,0,0,0,224
2016,Chiang Rai,15-24,0,0,0,1,0,0,0,506
2016,Chiang Rai,25-34,0,0,0,0,1,0,0,426
2016,Chiang Rai,35-59,0,0,0,0,0,1,0,804
2016,Chiang Rai,5-9,0,1,0,0,0,0,0,152
2016,Chiang Rai,60,0,0,0,0,0,0,1,230
2016,Chon Buri,0-4,1,0,0,0,0,0,0,114
2016,Chon Buri,10-14,0,0,1,0,0,0,0,232
2016,Chon Buri,15-24,0,0,0,1,0,0,0,452
2016,Chon Buri,25-34,0,0,0,0,1,0,0,314
2016,Chon Buri,35-59,0,0,0,0,0,1,0,292
2016,Chon Buri,5-9,0,1,0,0,0,0,0,194
2016,Chon Buri,60,0,0,0,0,0,0,1,50
2016,Chumphon,0-4,1,0,0,0,0,0,0,58
2016,Chumphon,10-14,0,0,1,0,0,0,0,94
2016,Chumphon,15-24,0,0,0,1,0,0,0,102
2016,Chumphon,25-34,0,0,0,0,1,0,0,50
2016,Chumphon,35-59,0,0,0,0,0,1,0,90
2016,Chumphon,5-9,0,1,0,0,0,0,0,82
2016,Chumphon,60,0,0,0,0,0,0,1,16
2016,Kalasin,0-4,1,0,0,0,0,0,0,86
2016,Kalasin,10-14,0,0,1,0,0,0,0,336
2016,Kalasin,15-24,0,0,0,1,0,0,0,404
2016,Kalasin,25-34,0,0,0,0,1,0,0,186
2016,Kalasin,35-59,0,0,0,0,0,1,0,226
2016,Kalasin,5-9,0,1,0,0,0,0,0,276
2016,Kalasin,60,0,0,0,0,0,0,1,52
2016,Kamphaeng Phet,0-4,1,0,0,0,0,0,0,20
2016,Kamphaeng Phet,10-14,0,0,1,0,0,0,0,64
2016,Kamphaeng Phet,15-24,0,0,0,1,0,0,0,100
2016,Kamphaeng Phet,25-34,0,0,0,0,1,0,0,50
2016,Kamphaeng Phet,35-59,0,0,0,0,0,1,0,44
2016,Kamphaeng Phet,5-9,0,1,0,0,0,0,0,62
2016,Kamphaeng Phet,60,0,0,0,0,0,0,1,12
