year,Province,patient_count,humidity,temp_avg,temp_min,temp_max,rain_ml,rain_day
2016,Amnat Charoen,676,75,27,13,39,1638,130
2016,Ang Thong,286,75,27,13,39,1638,130
2016,Bangkok,14932,75,27,13,39,1638,130
2016,Bueng Kan,1266,75,27,13,39,1638,130
2016,Buri Ram,1500,76.6,27.4,8.5,43.2,1370.7,93
2016,Chachoengsao,792,78.4,27.7,11.6,41,1319.4,130
2016,Chai Nat,274,72.2,28.8,12.2,41.8,1182.3,101
2016,Chaiyaphum,1222,70,28.2,11.4,42.6,1234.8,100
2016,Chanthaburi,1420,78.1,28.4,15.4,37,3400.6,167
2016,Chiang Mai,9508,70.3,27.3,10,42.5,1179.3,135
2016,Chiang Rai,2394,74.1,25.5,8.1,41.2,1875.8,139
2016,Chon Buri,1648,72.3,29.6,16,39.3,1463.2,106
2016,Chumphon,492,81.2,27.7,18,37.7,1778.2,158
2016,Kalasin,1566,77,27.2,8.2,41.9,1463.2,130
2016,Kamphaeng Phet,352,70.2,28.5,10.5,44,1168.9,125
2016,Kanchanaburi,392,68,29.3,12.3,43.5,1194.8,130
2016,Khon Kaen,1600,71.3,27.7,9.5,42.4,1368.1,124
2016,Krabi,1128,82.5,27.4,18.2,39.2,2348,175
2016,Lampang,1496,72.9,27.2,9.1,43.5,1096.2,119
2016,Lamphun,1072,72,27.2,9.2,44,1313.4,117
2016,Loei,1376,72.4,26.5,6.5,43,1406.9,129
2016,Lop Buri,870,69.5,29.2,14.6,41.5,1123.1,130
2016,Mae Hong Son,2268,74.6,26.7,10,44.6,1119.8,131
2016,Maha Sarakham,1232,71.9,28.2,9.5,42.5,1728.9,106
2016,Mukdahan,1772,70.5,27.6,10.5,42.3,1307.7,115
2016,Nakhon Nayok,158,75,27,13,39,1638,130
2016,Nakhon Pathom,1508,76.1,28.5,11,41.4,789.7,99
2016,Nakhon Phanom,814,70.8,27.1,8.2,41.4,2254.9,136
2016,Nakhon Ratchasima,3262,70.5,28.4,12,43.2,1090.1,130
2016,Nakhon Sawan,1236,71.4,29.1,10.4,43.7,1538.8,130
2016,Nakhon Si Thammarat,4566,83.1,27.8,20.5,38.1,2448.9,130
2016,Nan,424,76.9,26.8,8.3,43.3,1412.7,126
2016,Narathiwat,3512,79.4,28.1,20,36.6,2726.2,148
2016,Nong Bua Lam Phu,442,73.4,27,8.6,39,1541.8,119
2016,Nong Khai,354,72.1,27.5,9.1,42.8,1955,124
2016,Nonthaburi,1202,75,27,13,39,1638,130
2016,Pathum Thani,806,73,29.5,13.5,41,1027.5,130
2016,Pattani,4640,80,28.1,20.5,38.7,1781.4,132
2016,Phang-nga,726,75,27,13,39,1638,130
2016,Phatthalung,2942,81.1,28.3,22,39.4,2114.2,144
2016,Phayao,404,75.7,26.1,7.8,41.5,1071.4,116
2016,Phetchabun,1792,71.5,28.2,9.5,43.3,1039.2,119
2016,Phetchaburi,988,76.7,28.9,15.9,38.7,1133,101
2016,Phichit,660,73.3,28.7,10.7,42.3,1170,130
2016,Phitsanulok,1146,71.4,28.5,10,42.7,1380.9,130
2016,Phra Nakhon Si Ayutthaya,1070,72.4,29,12.9,42.1,1028.7,94
2016,Phrae,234,73.2,27.5,9.8,43.3,1342.6,126
2016,Phuket,1000,76.9,28.9,23.3,37.9,2536.5,178
2016,Prachin Buri,578,75.3,29.4,14.7,39.1,1662.5,130
2016,Prachuap Khiri Khan,638,76.3,28.2,15.3,39,1084,112
2016,Ranong,258,79.2,27.7,20.9,38.4,4924.9,201
2016,Ratchaburi,782,77.7,28.3,14.4,41.5,1243.2,120
2016,Rayong,1820,77.8,28.7,16.3,35,1308.5,116
2016,Roi Et,2366,70.9,28.1,11,42.3,1440.8,130
2016,Sa kaeo,462,75,27,13,39,1638,130
2016,Sakon Nakhon,726,71.9,27.1,8,41.7,1349.3,123
2016,Samut Prakan,1898,75.8,29,16,35.8,2082.7,93
2016,Samut Sakhon,844,75,27,13,39,1638,130
2016,Samut Songkhram,138,75,27,13,39,1638,130
2016,Saraburi,494,75,27,13,39,1638,130
2016,Satun,696,77.9,28.5,22.2,39.6,1940,170
2016,Si Sa Ket,2480,72.7,27.9,11.4,42.3,1310.6,113
2016,Sing Buri,12,75,27,13,39,1638,130
2016,Songkhla,11000,77.2,28.6,22.1,37.3,2191.5,149
2016,Sukhothai,624,74.7,28.5,11.1,44.5,1272,104
2016,Suphan Buri,710,71.8,29.2,13.5,42.2,1090.9,97
2016,Surat Thani,1056,82.6,27.6,19.6,41.4,1447.2,156
2016,Surin,4460,70.6,28.2,8,42,1406.2,100
2016,Tak,1408,67.7,28.4,9.2,43.8,1150.5,130
2016,Trang,1554,79.6,28.1,20.2,40.3,2559.8,174
2016,Trat,476,82.2,28,15.3,35.7,5669.6,193
2016,Ubon Ratchathani,4310,69.9,28.2,11.5,42.6,1905.8,130
2016,Udon Thani,352,70.9,27.5,7.8,42.4,1477,130
2016,Uthai Thani,342,75,27,13,39,1638,130
2016,Uttaradit,466,68.1,28.5,10.4,43.6,1355.8,112
2016,Yala,1690,79.4,27.8,20,40.1,1715,145
2016,Yasothon,686,75,27,13,39,1638,130
2017,Amnat Charoen,137,75,27,13,39,1638,130
2017,Ang Thong,267,75,27,13,39,1638,130
2017,Bangkok,9036,75,27,13,39,1638,130
2017,Bueng Kan,210,75,27,13,39,1638,130
2017,Buri Ram,622,80.2,26.4,9.3,39.5,1873.8,118
2017,Chachoengsao,442,80.3,27,11.8,38.5,1865.3,157
2017,Chai Nat,195,76.4,28.1,13,39.6,1195.9,118
2017,Chaiyaphum,273,70.7,27.7,11.4,40.6,1135.9,107
2017,Chanthaburi,359,79.1,28,16,36.5,3681.6,177
2017,Chiang Mai,2194,71.4,27,9.6,40.5,1419.6,141
2017,Chiang Rai,1797,76.9,25.3,7.2,38.1,2244.7,156
2017,Chon Buri,704,73,29,15.9,38.1,1462.6,111
2017,Chumphon,336,81.9,27.3,17.7,36.8,2489,169
2017,Kalasin,608,77.6,26.8,9.1,39.5,1713.9,130
2017,Kamphaeng Phet,507,74,28,11.9,39.3,1863.8,145
2017,Kanchanaburi,131,70.1,28.8,13.9,41,1230.5,130
2017,Khon Kaen,435,72.5,27.1,10.1,39.6,1426.6,141
2017,Krabi,515,84.9,26.8,18,36.6,2711.2,187
2017,Lampang,302,75.1,26.9,8,41.3,1511.6,127
2017,Lamphun,281,74.7,26.8,8.2,40.4,1489.5,126
2017,Loei,364,75.4,26.2,7,39.9,1522,124
2017,Lop Buri,204,71.4,28.7,15.1,40.5,1282.4,130
2017,Mae Hong Son,495,76.2,26.5,7.8,42,1285,144
2017,Maha Sarakham,452,73.9,27.6,9.7,39.8,1890.8,125
2017,Mukdahan,558,73.6,26.8,11.6,39.5,2056.8,132
2017,Nakhon Nayok,36,75,27,13,39,1638,130
