year,province,province_num,day_raindrop,quant_rain,humbidity_perc,temp_max,temp_min,temp_avg,dead,dead_perc,patient
2560,กระบี่,2,187,2711.2,84.9,36.6,18,26.8,0,0,1093
2560,กรุงเทพฯ,1,140,2675.8,74.1,39.1,14.6,29,14,0.48,2913
2560,กาญจนบุรี,3,116,1230.5,70.1,41,13.9,28.8,0,0,532
2560,กาฬสินธุ์,4,119,1713.9,77.6,39.5,9.1,26.8,2,0.24,844
2560,กำแพงเพชร,5,145,1863.8,74,39.3,11.9,28,0,0,592
2560,ขอนแก่น,6,141,1426.6,72.5,39.6,10.1,27.1,0,0,952
2560,จันทบุรี,7,177,3681.6,79.1,36.5,16,28,0,0,324
2560,ฉะเชิงเทรา,8,157,1865.3,80.3,38.5,11.8,27,0,0,428
2560,ชลบุรี,9,111,1462.6,73,38.1,15.9,29,1,0.11,916
2560,ชัยนาท,10,118,1195.9,76.4,39.6,13,28.1,0,0,200
2560,ชัยภูมิ,11,107,1135.9,70.7,40.6,11.4,27.7,0,0,477
2560,ชุมพร,12,169,2489,81.9,36.8,17.7,27.3,2,0.27,737
2560,เชียงราย,13,156,2244.7,76.9,38.1,7.2,25.3,1,0.21,473
2560,เชียงใหม่,14,141,1419.6,71.4,40.5,9.6,27,3,0.18,1673
2560,ตรัง,15,220,3221.6,82.7,37,20.3,27.4,1,0.04,2815
2560,ตราด,16,197,4530.6,81.6,35.5,19.1,27.6,0,0,62
2560,ตาก,17,115,1402.7,72.8,42.2,9.8,27.9,0,0,1044
2560,นครนายก,18,133,1575.8,74.2,39.5,15,29,0,0,131
2560,นครปฐม,19,117,1228,78.3,38.8,13.5,28,1,0.17,580
2560,นครพนม,20,145,2663.9,72.3,38.5,9.5,26.5,0,0,397
2560,นครราชสีมา,21,113,1652.8,74.1,39.6,12.8,27.7,2,0.1,2008
2560,นครศรีธรรมราช,22,187,4478.3,84.5,36.5,20.4,27.4,1,0.03,3503
2560,นครสวรรค์,23,130,1760.5,75.3,41.2,11.5,28.5,0,0,381
2560,นนทบุรี,24,140,2675.8,74.1,39.1,14.6,29,2,0.27,736
2560,นราธิวาส,25,173,4802.4,82.2,35.5,19.5,27.3,3,0.05,5770
2560,น่าน,26,134,1205.3,77.4,40.3,7.1,26.8,0,0,290
2560,บึงกาฬ,27,145,2663.9,72.3,38.5,9.5,26.5,0,0,612
2560,บุรีรัมย์,28,118,1873.8,80.2,39.5,9.3,26.4,0,0,1625
2560,ปทุมธานี,29,133,1575.8,74.2,39.5,15,29,1,0.25,393
2560,ประจวบคีรีขันธ์,30,112,1474.5,76.9,38.5,17,27.8,1,0.14,739
2560,ปราจีนบุรี,31,153,1895.3,74.2,39.6,16.2,28.9,0,0,295
2560,ปัตตานี,32,177,3093.8,82.3,36.2,21.2,27.5,6,0.11,5340
2560,พระนครศรีอยุธยา,33,117,1369.8,76.1,39.4,14,28.4,0,0,568
2560,พะเยา,34,132,1286,79.8,39,6.8,25.7,0,0,62
2560,พังงา,35,209,2711.2,84.9,36.6,18,26.8,1,0.3,338
2560,พัทลุง,36,186,3596.1,84,35.8,21,27.6,0,0,1821
2560,พิจิตร,37,125,1542.7,76.8,39.2,12.8,28.2,0,0,439
2560,พิษณุโลก,38,125,1621.1,74.9,38.6,12.5,28.1,0,0,656
2560,เพชรบุรี,39,119,1499.6,76.7,38.5,15.6,28.5,0,0,951
2560,เพชรบูรณ์,40,123,1373.7,73.7,41.2,11.6,27.9,2,0.24,824
2560,แพร่,41,135,1411.9,77,39.2,8.2,27,0,0,101
2560,ภูเก็ต,42,193,2766.4,77.6,36.1,22,28.5,2,0.19,1053
2560,มหาสารคาม,43,125,1890.8,73.9,39.8,9.7,27.6,0,0,893
2560,มุกดาหาร,44,132,2056.8,73.6,39.5,11.6,26.8,0,0,276
2560,แม่ฮ่องสอน,45,144,1285,76.2,42,7.8,26.5,0,0,344
2560,ยโสธร,46,132,2056.8,73.6,39.5,11.6,26.8,0,0,219
2560,ยะลา,47,199,3667,82.6,36.8,20.8,27,4,0.09,4350
2560,ร้อยเอ็ด,48,117,1759.1,74.7,39.2,10.7,27.4,1,0.12,866
2560,ระนอง,49,219,4692.8,81.4,35.3,19,27.2,0,0,208
2560,ระยอง,50,143,1659.2,78,34.5,17,28.3,0,0,378
2560,ราชบุรี,51,148,1207.9,78.9,39.2,14.1,27.7,1,0.23,440
2560,ลพบุรี,52,113,1282.4,71.4,40.5,15.1,28.7,0,0,372
