year,year_num,province,province_num,day_raindrop,quant_rain,humbidity_perc,temp_max,temp_min,temp_avg,dead,dead_perc,patient
2016,1,krabi,1,137,1976,81.9,37.5,18.4,27.2,4,0.23,1714
2016,1,Bkk,2,113,1907.6,73.6,39.8,19.2,29.2,3,0.05,6291
2016,1,Kranjanaburi,3,97,963.2,67.8,42.3,14.8,29.2,5,0.41,1212
2016,1,Kalasilp,4,105,1283.6,77.1,41.8,9.9,27.2,0,0,1420
2016,1,Kampangpech,5,112,967,71.3,41.5,14.4,28.4,1,0.15,669
2016,1,Konkean,6,106,998.9,69.9,41,11.6,27.6,5,0.22,2248
2016,1,Chantaburi,7,157,2721.4,77.7,36,18.2,28.2,1,0.05,2210
2016,1,Chacherngchoa,8,101,1406.6,78.4,39.1,14.1,27.4,6,0.26,2333
2016,1,Chonburi,9,101,1046,70.7,38.1,18.6,29.6,13,0.46,2832
2016,1,Chainat,10,105,985.8,73.8,40.2,15.4,28.4,1,0.17,601
2016,1,Chaiyabhoom,11,90,912.8,66.5,41.7,14.4,28.3,2,0.07,2895
2016,1,Chumporn,12,167,2107.8,81.9,37.4,18,27.4,0,0,572
2016,1,Chiangrai,13,133,1431.6,75.3,37.5,10.2,25.3,0,0,1692
2016,1,Chiangmai,14,110,831.8,67.4,39.6,13.9,27.3,4,0.08,5089
2016,1,Trang,15,168,1973.5,79.4,38.6,19.2,27.7,0,0,488
2016,1,Trad,16,160,3918.4,81.3,35.2,18.5,27.8,4,0.44,904
2016,1,Tak,17,91,778.6,66.7,41.7,13.1,28.4,1,0.05,2134
2016,1,Nakornnaiyok,18,101,1406.6,78.4,39.1,11.4,27.4,0,0,432
2016,1,Nakornpathom,19,76,1171.6,76.3,40,13,28.2,2,0.06,3079
2016,1,Nakornpanom,20,127,2079.2,71.9,42.1,8.7,27.3,0,0,802
2016,1,Nakornrachasima,21,104,1171.1,69.4,41.5,13.6,28.4,13,0.18,7194
2016,1,Nakornsrithamarach,22,158,2091,82.9,37.1,18.9,27.4,2,0.1,1957
2016,1,Nakornsawan,23,105,771.4,71.3,42.4,14.2,29.1,3,0.08,3653
2016,1,Nontaburi,24,148,1987.2,73.6,39.8,19.2,29.2,3,0.16,1924
2016,1,Narathiwat,25,105,1051.7,80.2,39.4,18.5,27.3,1,0.11,877
2016,1,Nan,26,119,1130.4,76.1,40,10.9,26.8,0,0,530
2016,1,Buengkarn,27,127,2079.2,71.9,42.1,8.7,27.3,0,0,255
2016,1,Burirum,28,81,1029.3,74.8,42.5,11.4,27.4,1,0.05,1969
2016,1,Prathumthani,29,114,1045.7,72.9,39.2,16.5,29.3,2,0.14,1445
2016,1,Prajuabkirikhan,30,109,978.7,77.7,39,17,27.9,4,0.3,1353
2016,1,Pachinburi,31,121,1628,73.3,39.8,17.3,29.1,0,0,1942
2016,1,Pattani,32,127,1189.7,81,37.7,19.3,27.5,1,0.18,551
2016,1,Pranakornsri,33,148,1152.7,77.1,39.7,16,28.8,1,0.32,315
2016,1,Prayao,34,90,807.5,79.1,38.5,10.2,25.8,0,0,382
2016,1,Pung-nga,35,172,2032.4,78.2,36.8,18.5,27.6,0,0,535
2016,1,Pattalung,36,118,909.3,82.6,36,20.8,27.8,0,0,837
2016,1,Pichit,37,102,891.3,73.5,41.7,14.4,28.6,1,0.08,1183
2016,1,Pitsanulok,38,102,891.3,72,40.4,14.4,28.4,6,0.2,2941
2016,1,Prechburi,39,103,794.1,76.2,38.8,16.7,28.7,0,0,785
2016,1,Pechabun,40,89,827.7,72.1,42.1,12,28,4,0.3,1347
2016,1,Prea,41,108,902.3,73.6,41.2,12.1,27.3,0,0,816
