year,province,จำนวนวันที่ฝนตก,ปริมาณน้ำฝน,%ความชื้นสัมพัทธ์,อุณหภูมิสูงสุด,อุณหภูมิต่ำสุด,อุณหภูมิเฉลี่ย,ผู้เสียชีวิต,%การเสียชีวิต,ผู้ป่วย,latitude,longitude
2016,Amnat Charoen,0,0,0,0,0,0,0,0,676,15.51,104.38
2017,Amnat Charoen,0,1608.2,0,0,9.3,0,0,0,204,15.51,104.38
2018,Amnat Charoen,0,1308.7,0,0,11.8,0,0,0,179,15.51,104.38
2019,Amnat Charoen,0,1024,0,0,9.9,0,0,0,1264,15.51,104.38
2020,Amnat Charoen,0,964.5,0,0,12.8,0,0,0,409,15.51,104.38
2016,Ang Thong,0,0,0,0,0,0,0,0,286,14.35,100.31
2017,Ang Thong,0,0,0,0,0,0,0,0,326,14.35,100.31
2018,Ang Thong,0,0,0,0,0,0,2,0.37,544,14.35,100.31
2019,Ang Thong,0,0,0,0,0,0,0,0,804,14.35,100.31
2020,Ang Thong,0,0,0,0,0,0,0,0,997,14.35,100.31
2016,Bangkok,0,2006.9,75.9,39.9,14.8,29.4,0,0,14932,13.45,100.35
2017,Bangkok,140,2675.8,74.1,39.1,14.6,29,14,0.48,2913,13.45,100.35
2018,Bangkok,131,1768.2,75.7,37.3,19.6,28.8,19,0.3,6311,13.45,100.35
2019,Bangkok,95,1058.1,72.9,40,17.7,29.5,10,0.21,4773,13.45,100.35
2020,Bangkok,110,1704.2,0,0,18.3,0,12,0.37,3276,13.45,100.35
2016,Bueng Kan,0,0,0,0,0,0,0,0,1266,18.23,103.37
2017,Bueng Kan,0,0,0,0,0,0,0,0,612,18.23,103.37
2018,Bueng Kan,0,0,0,0,0,0,0,0,436,18.23,103.37
2019,Bueng Kan,0,0,0,0,0,0,1,0.07,1467,18.23,103.37
2020,Bueng Kan,0,0,0,0,0,0,0,0,840,18.23,103.37
2016,Buri Ram,93,1370.7,76.6,43.2,8.5,27.4,0,0,1500,15,103
2017,Buri Ram,118,1873.8,80.2,39.5,9.3,26.4,0,0,1625,15,103
2018,Buri Ram,94,831.6,77.7,39.3,11.3,26.7,1,0.04,2267,15,103
2019,Buri Ram,114,1261.7,75.7,40.2,0.6,27.6,1,0.02,6398,15,103
2020,Buri Ram,113,1266,0,0,12.6,0,0,0,3510,15,103
2016,Chachoengsao,130,1319.4,78.4,41,11.6,27.7,0,0,792,13.42,101.05
2017,Chachoengsao,157,1865.3,80.3,38.5,11.8,27,0,0,428,13.42,101.05
2018,Chachoengsao,156,1884.7,81.6,36.5,15,26.8,1,0.06,1586,13.42,101.05
2019,Chachoengsao,109,920.5,77.4,39.5,14.4,27.6,0,0,1998,13.42,101.05
2020,Chachoengsao,132,1430.1,0,0,15.2,0,1,0.14,708,13.42,101.05
2016,Chai Nat,101,1182.3,72.2,41.8,12.2,28.8,0,0,274,15.11,100.08
2017,Chai Nat,118,1195.9,76.4,39.6,13,28.1,0,0,200,15.11,100.08
2018,Chai Nat,102,791.7,76.8,39,15.8,28,0,0,169,15.11,100.08
2019,Chai Nat,89,739,72.1,41,13.8,28.6,0,0,386,15.11,100.08
2020,Chai Nat,98,804.4,0,0,16,0,0,0,808,15.11,100.08
2016,Chaiyaphum,100,1234.8,70,42.6,11.4,28.2,0,0,1222,15.48,102.02
2017,Chaiyaphum,107,1135.9,70.7,40.6,11.4,27.7,0,0,477,15.48,102.02
2018,Chaiyaphum,113,911.6,69.5,40.6,12.6,27.6,0,0,703,15.48,102.02
2019,Chaiyaphum,78,774.8,63.9,42.5,13.2,28.8,0,0,1908,15.48,102.02
2020,Chaiyaphum,113,1164.1,0,0,14.2,0,1,0.03,2955,15.48,102.02
2016,Chanthaburi,167,3400.6,78.1,37,15.4,28.4,0,0,1420,12.38,102.12
2017,Chanthaburi,177,3681.6,79.1,36.5,16,28,0,0,324,12.38,102.12
2018,Chanthaburi,171,2341.3,78.6,36.2,18.2,28,0,0,264,12.38,102.12
2019,Chanthaburi,156,2538,77.6,36.4,18,28.5,3,0.22,1371,12.38,102.12
2020,Chanthaburi,169,2556.5,0,0,17.6,0,2,0.27,733,12.38,102.12
2016,Chiang Mai,135,1179.3,70.3,42.5,10,27.3,0,0,9508,18.47,98.59
2017,Chiang Mai,141,1419.6,71.4,40.5,9.6,27,3,0.18,1673,18.47,98.59
2018,Chiang Mai,129,972.4,70.5,39.8,12.5,26.9,0,0,1081,18.47,98.59
2019,Chiang Mai,112,972.1,65.8,41.6,10.5,27.5,4,0.2,2030,18.47,98.59
2020,Chiang Mai,105,1085.1,0,0,10.8,0,1,0.04,2581,18.47,98.59
2016,Chiang Rai,139,1875.8,74.1,41.2,8.1,25.5,0,0,2394,19.52,99.5
2017,Chiang Rai,156,2244.7,76.9,38.1,7.2,25.3,1,0.21,473,19.52,99.5
2018,Chiang Rai,162,1928.5,78,36.5,11.3,25.1,1,0.14,725,19.52,99.5
2019,Chiang Rai,99,1012.8,70.2,42,6.3,26.2,0,0,1560,19.52,99.5
2020,Chiang Rai,111,1198.5,0,0,9,0,0,0,981,19.52,99.5
2016,Chon Buri,106,1463.2,72.3,39.3,16,29.6,0,0,1648,13.21,101.01
2017,Chon Buri,111,1462.6,73,38.1,15.9,29,1,0.11,916,13.21,101.01
2018,Chon Buri,119,1332.8,76,37.5,18.5,28.9,4,0.2,2045,13.21,101.01
