Province,latitude,longitude
Amnat Charoen,15.51,104.38
Ang Thong,14.35,100.31
Bangkok,13.45,100.35
Bueng Kan,18.23,103.37
Buri Ram,15,103
Chachoengsao,13.42,101.05
Chai Nat,15.11,100.08
Chaiyaphum,15.48,102.02
Chanthaburi,12.38,102.12
Chiang Mai,18.47,98.59
Chiang Rai,19.52,99.5
Chon Buri,13.21,101.01
Chumphon,10.35,99.14
Kalasin,16.26,103.3
Kamphaeng Phet,16.28,99.3
Kanchanaburi,14.02,99.31
Khon Kaen,16.3,102.47
Krabi,8.04,98.55
Lampang,18.16,99.32
Lamphun,18.4,99.02
Loei,17.29,101.35
Lop Buri,14.48,100.37
Mae Hong Son,19.16,97.56
Maha Sarakham,16.12,103.16
Mukdahan,16.32,104.43
Nakhon Nayok,14.12,101.13
Nakhon Pathom,13.49,100.03
Nakhon Phanom,17.23,104.43
Nakhon Ratchasima,14.59,102.12
Nakhon Sawan,15.35,100.1
Nakhon Si Thammarat,8.29,100
Nan,15.42,100.09
Narathiwat,6.3,101.48
Nong Bua Lam Phu,17.174,102.4495
Nong Khai,17.5,102.46
Nonthaburi,13.51,100.34
Pathum Thani,14.02,100.52
Pattani,6.48,101.15
Phang-nga,8.28,98.3
Phatthalung,7.39,100.06
Phayao,19.11,99.55
Phetchabun,16.25,101.08
Phetchaburi,13.01,99.55
Phichit,16.26,100.22
Phitsanulok,14.2,104
Phra Nakhon Si Ayutthaya,14.25,100.3
Phrae,18.07,100.09
Phuket,7.53,98.24
Prachin Buri,14,101.25
Prachuap Khiri Khan,11.49,99.48
Ranong,9.56,98.4
Ratchaburi,13.3,99.54
Rayong,12.4,101.2
Roi Et,16.4,103.4
Sa kaeo,13.8222,102.066
Sakon Nakhon,17.1,104.9
Samut Prakan,13.32,100.4
Samut Sakhon,13.5498,100.2741
Samut Songkhram,13.24,100.1
Saraburi,14.3,100.55
Satun,6.43,100.2
Si Sa Ket,15.8,104.23
Sing Buri,14.53,100.25
Songkhla,7.13,100.37
Sukhothai,17.0076,99.8264
Suphan Buri,14.4745,100.1177
Surat Thani,9.6,99.2
Surin,14.5,103.34
Tak,16.52,99.8
Trang,7.33,99.38
Trat,12.2428,102.5175
Ubon Ratchathani,15.15,104.5
Udon Thani,17.29,102.46
Uthai Thani,15.3835,100.0246
Uttaradit,17.36,100.5
Yala,6.5411,101.2804
Yasothon,15.5,104.1
